subcommittee	code	docx	xlsx	title	authorsEmails	correspondingAuthor	abstract 
Animal +ssRNA (S) proposals	2023.003S	2023.003S.Picornaviridae_158sprenamed.docx	2023.003S.Picornaviridae_158sprenamed.xlsx	Rename all species in the family to comply the ICTV-mandated binomial format (Picornavirales: Picornaviridae)	Knowles NJ, Benschop KSM, Gorbalenya, AE, Lindberg AM, Oberste MS, Palmenberg AC, Reuter G, Simmonds P, Skern T, Tapparel C, Woo PCY, Zell R	Knowles NJ	 
Animal +ssRNA (S) proposals	2023.015SX	2023.015SX.Picornaviridae_correction_1sp.docx	2023.015SX.Picornaviridae_correction_1sp.xlsx	Spelling correction to species name Enterovirus deconjucti (Picornavirales, Picornaviridae)	NA	NA	 
